label,Feed H+[M],Feed H+[M].1,PC88A[M],PC88A[M].1,Feed La[M],Xaq La,D La
Li (1987) La,0.0001,0.0001,1,1,0.04999962,0.0363,0.3774
Li (1987) La,0.0001,0.0001,1,1,0.09999712,0.0844,0.1848
Li (1987) La,0.0001,0.0001,1,1,0.1499944,0.1345,0.1152
Li (1987) La,0.0001,0.0001,1,1,0.19999665,0.1835,0.0899
Li (1987) La,0.0001,0.0001,1,1,0.24999486,0.2329,0.0734
Li (1987) La,0.0001,0.0001,1,1,0.29998637,0.2833,0.0589
Li (1987) La,0.01,0.01,1,1,0.0499991,0.0395,0.2658
Li (1987) La,0.01,0.01,1,1,0.10000231,0.0881,0.1351
Li (1987) La,0.01,0.01,1,1,0.15000091,0.1367,0.0973
Li (1987) La,0.01,0.01,1,1,0.20009536,0.1856,0.0781
Li (1987) La,0.01,0.01,1,1,0.40540686,0.3846,0.0541
Li (1987) La,0.03,0.03,1,1,0.09999756,0.0897,0.1148
Li (1987) La,0.03,0.03,1,1,0.15000544,0.1391,0.0784
Li (1987) La,0.03,0.03,1,1,0.19999343,0.1883,0.0621
Li (1987) La,0.03,0.03,1,1,0.29999853,0.2881,0.0413
Li (1987) La,0.04,0.04,1,1,0.05030076,0.0444,0.1329
Li (1987) La,0.04,0.04,1,1,0.09999639,0.0919,0.0881
Li (1987) La,0.04,0.04,1,1,0.15000408,0.1413,0.0616
Li (1987) La,0.04,0.04,1,1,0.20049903,0.1917,0.0459
Li (1987) La,0.04,0.04,1,1,0.29948604,0.2883,0.0388
