label,Feed H+[M],Feed H+[M],PC88A[M],PC88A[M],Feed Nd[M],Xaq Nd,D Nd
Lyon (2016) Nd,0.01,0.01,1,1,0.08666112,0.05352756,0.619
Lyon (2016) Nd,0.05,0.05,1,1,0.08666112,0.060900295,0.423
Lyon (2016) Nd,0.1,0.1,1,1,0.08666112,0.067916239,0.276
Lyon (2016) Nd,0.3,0.3,1,1,0.08666112,0.084878668,0.021
Lyon (2016) Nd,0.01,0.01,1,1,0.042983916,0.015124531,1.842
Lyon (2016) Nd,0.05,0.05,1,1,0.042983916,0.020410216,1.106
Lyon (2016) Nd,0.1,0.1,1,1,0.042983916,0.026354332,0.631
Lyon (2016) Nd,0.3,0.3,1,1,0.042983916,0.039290599,0.094
Lyon (2016) Nd,0.01,0.01,1,1,0.005546312,3.16E-05,174.668
Lyon (2016) Nd,0.05,0.05,1,1,0.005546312,0.000451912,11.273
Lyon (2016) Nd,0.1,0.1,1,1,0.005546312,0.001558828,2.558
Lyon (2016) Nd,0.3,0.3,1,1,0.005546312,0.005400498,0.027
Lee (2005) Nd,0.251,0.25,1,1,0.1,0.087622932,0.141253754
Lee (2005) Nd,0.251,0.25,1.5,1.5,0.1,0.07955199,0.257039578
Lee (2005) Nd,0.251,0.25,2,2,0.1,0.074253556,0.34673685
Lee (2005) Nd,0.251,0.25,2.5,2.5,0.1,0.071525275,0.398107171
Lee (2005) Nd,0.251,0.25,3,3,0.1,0.066613942,0.501187234
Lee (2005) Nd,0.134,0.13,1,1,0.1,0.075124079,0.331131121
Lee (2005) Nd,0.0835,0.08,1,1,0.1,0.065582051,0.52480746
Lee (2005) Nd,0.0285,0.03,1,1,0.1,0.059662917,0.676082975
Lee (2005) Nd,0.262,0.26,2,2,0.1,0.079923999,0.251188643
Lee (2005) Nd,0.134,0.13,2,2,0.1,0.061313682,0.630957344
Lee (2005) Nd,0.0835,0.08,2,2,0.1,0.051151089,0.954992586
Lee (2005) Nd,0.0285,0.03,2,2,0.1,0.044837645,1.230268771
Lee (2005) Nd,0.0114,0.01,2,2,0.1,0.041450132,1.412537545
Lee (2005) Nd,0.262,0.26,3,3,0.1,0.074253556,0.34673685
Lee (2005) Nd,0.134,0.13,3,3,0.1,0.048273748,1.071519305
Lee (2005) Nd,0.0835,0.08,3,3,0.1,0.040337083,1.479108388
Lee (2005) Nd,0.0285,0.03,3,3,0.1,0.033900091,1.9498446
Lee (2005) Nd,0.0114,0.01,3,3,0.1,0.030387123,2.290867653
Li (1987) Nd,0.01,0.01,1,1,0.05000119,0.0239,1.0921
Li (1987) Nd,0.01,0.01,1,1,0.09999803,0.0683,0.4641
Li (1987) Nd,0.01,0.01,1,1,0.1500057,0.117,0.2821
Li (1987) Nd,0.01,0.01,1,1,0.200004,0.168,0.1905
Li (1987) Nd,0.01,0.01,1,1,0.30001149,0.2637,0.1377
Li (1987) Nd,0.05,0.05,1,1,0.03453582,0.0201,0.7182
Li (1987) Nd,0.05,0.05,1,1,0.09996185,0.0757,0.3205
Li (1987) Nd,0.05,0.05,1,1,0.19999308,0.1722,0.1614
Li (1987) Nd,0.1,0.1,1,1,0.04999817,0.0389,0.2853
Li (1987) Nd,0.1,0.1,1,1,0.1499974,0.133,0.1278
Li (1987) Nd,0.1,0.1,1,1,0.19999876,0.1807,0.1068
Li (1987) Nd,0.1,0.1,1,1,0.2500032,0.232,0.0776
Li (1987) Nd,0.1,0.1,1,1,0.30001216,0.2807,0.0688
Li (1987) Nd,0.3,0.3,1,1,0.01996974,0.0189,0.0566
Li (1987) Nd,0.3,0.3,1,1,0.04997968,0.0478,0.0456
Li (1987) Nd,0.3,0.3,1,1,0.15000144,0.1464,0.0246
Li (1987) Nd,0.3,0.3,1,1,0.29998765,0.2957,0.0145
Li (1987) Nd,0.5,0.5,1,1,0.04999786,0.0482,0.0373
Li (1987) Nd,0.5,0.5,1,1,0.10000096,0.0976,0.0246
Li (1987) Nd,0.5,0.5,1,1,0.20000784,0.1968,0.0163
