label,Feed H+[M],Feed H+[M].1,PC88A[M],PC88A[M].1,Feed Y[M],Xaq Y,D Y
Li (1987) Y,0.1,0.1,1,1,0.1500005,0.047,2.1915
Li (1987) Y,0.1,0.1,1,1,0.19999809,0.0857,1.3337
Li (1987) Y,0.1,0.1,1,1,0.2999996,0.1772,0.693
Li (1987) Y,0.5,0.5,1,1,0.05,0.016,2.125
Li (1987) Y,0.5,0.5,1,1,0.10000039999999999,0.0445,1.2472
Li (1987) Y,0.5,0.5,1,1,0.15000048,0.0828,0.8116
Li (1987) Y,0.5,0.5,1,1,0.19999436,0.1214,0.6474
Li (1987) Y,0.5,0.5,1,1,0.29999366,0.2083,0.4402
Li (1987) Y,1.0,1.0,1,1,0.04999995,0.0333,0.5015
Li (1987) Y,1.0,1.0,1,1,0.09999846,0.0694,0.4409
Li (1987) Y,1.0,1.0,1,1,0.15000104,0.1108,0.3538
Li (1987) Y,1.0,1.0,1,1,0.19999756,0.1526,0.3106
Li (1987) Y,1.0,1.0,1,1,0.29999472,0.2416,0.2417
Li (1987) Y,1.0,1.0,1,1,0.25000384,0.1984,0.2601
Li (1987) Y,1.5,1.5,1,1,0.050001300000000005,0.0405,0.2346
Li (1987) Y,1.5,1.5,1,1,0.09999854,0.0838,0.1933
Li (1987) Y,1.5,1.5,1,1,0.19999977,0.1753,0.1409
Li (1987) Y,2.0,2.0,1,1,0.09999804,0.0908,0.1013
Li (1987) Y,2.0,2.0,1,1,0.19992651,0.1851,0.0801
Li (1987) Y,2.0,2.0,1,1,0.30001335,0.2821,0.0635
