label,Feed H+[M],Feed H+[M].1,PC88A[M],PC88A[M].1,Feed Nd[M],Xaq Nd,D Nd,Feed Pr[M],Xaq Pr,D Pr,Feed Ce[M],Xaq Ce,D Ce,Feed La[M],Xaq La,D La,Feed Dy[M],Xaq Dy,D Dy,Feed Sm[M],Xaq Sm,D Sm,Feed Y[M],Xaq Y,D Y
Formiga (2016),0.316227766,0.316227766,1,1,0.038824182,0.036106489,0.075268817,0.011354951,0.010673654,0.063829787,0.104199378,0.102323789,0.018329939,0.046794403,0.046466843,0.007049345,0,0,0,0,0,0,0,0,0
Formiga (2016),0.1,0.1,1,1,0.038824182,0.023294509,0.666666667,0.011354951,0.007153619,0.587301587,0.104199378,0.087527477,0.19047619,0.046794403,0.044454683,0.052631579,0,0,0,0,0,0,0,0,0
Formiga (2016),0.01,0.01,1,1,0.038824182,0.011647255,2.333333333,0.011354951,0.003860683,1.941176471,0.104199378,0.065645608,0.587301587,0.046794403,0.040711131,0.149425287,0,0,0,0,0,0,0,0,0
Lyon (2016),0.02,0.02,1,1,0.048530227,0.029263727,0.658374793,0.04967791,0.035072604,0.416430595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyon (2016),0.05,0.05,1,1,0.048530227,0.032127011,0.510574018,0.04967791,0.037506822,0.324503311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyon (2016),0.1,0.1,1,1,0.048530227,0.039018303,0.243781095,0.04967791,0.043070748,0.153402537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyon (2016),0.3,0.3,1,1,0.048530227,0.046443428,0.044932079,0.04967791,0.048535318,0.023541453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyon (2016),0.01,0.01,1,1,0.259983361,0.197587354,0.315789474,0.088710553,0.071855548,0.234567901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyon (2016),0.05,0.05,1,1,0.259983361,0.207986689,0.25,0.088710553,0.07540397,0.176470588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyon (2016),0.1,0.1,1,1,0.259983361,0.21578619,0.204819277,0.088710553,0.077178181,0.149425287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyon (2016),0.3,0.3,1,1,0.259983361,0.244384359,0.063829787,0.088710553,0.08338792,0.063829787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liu (2014),1.00E-05,1.00E-05,0.1,0.1,0.022739878,0.017097653,0.33,0.008303308,0.006642646,0.25,0,0,0,0.054425491,0.050393973,0.08,0,0,0,0,0,0,0,0,0
Liu (2014),1.00E-05,1.00E-05,0.3,0.3,0.022739878,0.013298174,0.71,0.008303308,0.005462702,0.52,0,0,0,0.054425491,0.048594188,0.12,0,0,0,0,0,0,0,0,0
Liu (2014),1.00E-05,1.00E-05,0.5,0.5,0.022739878,0.010932634,1.08,0.008303308,0.004537327,0.83,0,0,0,0.054425491,0.048164151,0.13,0,0,0,0,0,0,0,0,0
Liu (2014),1.00E-05,1.00E-05,0.7,0.7,0.022739878,0.009396644,1.42,0.008303308,0.003972875,1.09,0,0,0,0.054425491,0.047326514,0.15,0,0,0,0,0,0,0,0,0
Liu (2014),1.00E-05,1.00E-05,0.9,0.9,0.022739878,0.008209342,1.77,0.008303308,0.002997584,1.77,0,0,0,0.054425491,0.045735706,0.19,0,0,0,0,0,0,0,0,0
Banda (2014),1.00E-05,1.00E-05,0.1,0.1,0.022739878,0.018928042,0.201385664,0.008303308,0.007354823,0.128960943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banda (2014),1.00E-05,1.00E-05,0.3,0.3,0.022739878,0.014333115,0.586527247,0.008303308,0.005999476,0.384005473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banda (2014),1.00E-05,1.00E-05,0.5,0.5,0.022739878,0.010952454,1.076235839,0.008303308,0.004805359,0.727926764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banda (2014),1.00E-05,1.00E-05,0.7,0.7,0.022739878,0.008786058,1.588177405,0.008303308,0.003974007,1.089404412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banda (2014),1.00E-05,1.00E-05,0.9,0.9,0.022739878,0.00700602,2.245762712,0.008303308,0.00322327,1.576050934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kim (2012),0.01023293,0.01023293,0.1,0.1,0.009359401,0.007999488,0.17,0.003371001,0.003064546,0.1,0.038539496,0.037783819,0.02,0.022461314,0.022020896,0.02,0,0,0,0,0,0,0,0,0
Kim (2012),0.01023293,0.01023293,0.3,0.3,0.009359401,0.006881912,0.36,0.003371001,0.002763116,0.22,0.038539496,0.035357336,0.09,0.022461314,0.021597417,0.04,0,0,0,0,0,0,0,0,0
Kim (2012),0.01023293,0.01023293,0.5,0.5,0.009359401,0.005813293,0.61,0.003371001,0.002340973,0.44,0.038539496,0.032386131,0.19,0.022461314,0.02060671,0.09,0,0,0,0,0,0,0,0,0
Kim (2012),0.01023293,0.01023293,0.7,0.7,0.009359401,0.005638193,0.66,0.003371001,0.002147134,0.57,0.038539496,0.03034606,0.27,0.022461314,0.019877269,0.13,0,0,0,0,0,0,0,0,0
