,iter,best_obj,rel_diff,best_ext_h0,Nd_slope,Nd_intercept,Nd_beta0,Nd_beta1,Pr_slope,Pr_intercept,Pr_beta0,Pr_beta1,Ce_slope,Ce_intercept,Ce_beta0,Ce_beta1,La_slope,La_intercept,La_beta0,La_beta1,Dy_slope,Dy_intercept,Dy_beta0,Dy_beta1,Sm_slope,Sm_intercept,Sm_beta0,Sm_beta1,Y_slope,Y_intercept,Y_beta0,Y_beta1
0,0,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20
1,1,0.00016134227249800634,28.000000000000057,-1376877.7655517121,2.997016104344558,-798273.2701355412,0.8974067641732357,9.428749928658126,2.9952636557673946,-812187.4113891785,0.5879108865959323,5.448324456659969,3.000763765252656,-797785.6715641882,0.6005000281672793,4.910000049022438,3.0029250992523053,-797753.1250426786,0.5930012908436624,5.277035454314173,3.005188887840825,-797963.3947393347,0.6129503793970729,5.359935242349485,3.0049141894588356,-788597.673243324,0.5977991609874977,5.278978873136207,3.004211003525449,-808858.5407597149,0.9656358640797775,8.51418935794808
2,2,8.491196928368016e-05,3.753743510814017,-1375785.2564991405,2.9970374674100313,-798274.3744081341,0.8974068120162436,9.42874961145886,2.994978971888568,-812110.2180829814,0.5879107200993189,5.448316407663497,2.9947405016045665,-813706.4008379887,0.45247610268275573,0.4910000049022438,2.9955784444500653,-811485.5788168659,0.9744013695120132,11.536623868407073,3.0051886646689425,-797963.3849246526,0.6129504080166187,5.359935711747232,2.998286291636726,-796410.7377837397,0.6989623741537213,6.874571631031283,2.9980686905189895,-816110.2339357884,0.8864580596701681,9.871827648349246
3,3,8.491196925751041e-05,1.3872557586710772,-1376877.1540548366,2.981636126077384,-815701.8403939944,0.9757586265135513,7.972840020817166,2.9919947944629675,-814690.7699676664,0.6543020425532663,6.401935572967909,2.9912895029379314,-812768.7207378447,0.4524742361735793,0.4909988885665818,2.8816137399778095,-1165713.786906667,0.6673287483674718,11.13954713731451,3.0051888954051678,-797963.3977338726,0.6129504256882,5.359936001703055,2.998286456943957,-796410.7468898736,0.6989623710221783,6.8745716509720465,2.9980701639611307,-816110.3144777927,0.8864580604329536,9.87182766313202
4,4,8.491196864453183e-05,3.124350706237914,-1376877.152537996,3.0030651668677755,-788714.7627699226,0.8876477500590181,7.1795656837403845,2.9492981846969997,-866396.0136278999,0.06543020425532663,14.481702424339913,2.9915899054971504,-812784.8309966518,0.4524742264332296,0.49099888634665106,2.802400719850797,-1217568.8940603866,0.734765523062068,16.501184782487442,3.005188678309654,-797963.3880226224,0.6129504505231561,5.359936408928357,2.9982864229571073,-796410.7471635938,0.6989623610327844,6.874571712665922,2.998069983411216,-816110.5901289525,0.8864580599623918,9.871827432740531
5,5,8.491196857946013e-05,1.1315146871019859,-1376877.1544992805,3.009261826624499,-790493.4807183052,0.8876820541130862,7.180366876068199,2.95493306423167,-941679.8410781198,0.06542242940021062,14.596387046646438,2.9939929242661925,-813370.2300667212,0.4524750816922801,0.49099914533270717,2.7412268066767798,-1181700.5928732348,0.0734765523062068,17.778208795501687,3.0051889032028973,-797963.4006334972,0.6129504699710735,5.359936728023126,2.9982864523758734,-796410.7494542947,0.6989623571542753,6.874571712665922,2.9980699791830183,-816110.5900394547,0.8864580599623918,9.871827432586276
6,6,8.491196857868175e-05,0.8212092953360018,-1376877.1544988493,3.018448578935926,-756591.4774984489,0.8847071856293566,7.127732469249149,2.946746698619443,-914521.2680772808,0.0655303675034554,17.87160024357031,2.9951696006679125,-813508.1242683842,0.45247514275357914,0.4909991719996952,2.8979917114047042,-880424.1009942711,0.07397534024322364,14.445668342341632,3.005188689731846,-797963.3909449822,0.6129504919765936,5.359937088895021,2.998286417872815,-796410.7494542947,0.6989623397580044,6.874571712665922,2.9980699785721763,-816110.5900320362,0.8864580599623918,9.871827432559574
7,7,8.491196857967895e-05,2.8535135475763593,-1376877.1544988335,2.9803570928818193,-831169.3940393181,2.3855150593783625,0.9943792524787087,2.927591618356134,-906967.4787334907,0.06534292291155007,16.133908724056262,3.0029738570325497,-795932.5448638537,0.4524823795863963,0.4909954629866391,2.9609895390962344,-881255.3332121583,0.07326400481624591,14.648731908806054,3.005188911656549,-797963.4035243823,0.6129505135552498,5.3599374429477535,2.998286452518918,-796410.7494542947,0.6989623360131538,6.874571712665922,2.9980699785721763,-816110.5900320362,0.8864580599623918,9.871827432559574
8,8,8.491196857967895e-05,0.5074295633771292,-1376877.1544988335,3.046988319365659,-695733.7822299139,2.118879762861775,0.9832916930997248,2.9452585522682813,-902617.5883506279,0.06531634264974066,14.535540289940167,3.001724622774424,-796341.6549504208,0.45078352007925804,0.49034083082370367,2.9722238052604713,-851355.1697072648,0.07317245680858252,14.005551062985573,3.0051886986863527,-797963.3937399577,0.6129505334265856,5.359937768806609,2.998286418340077,-796410.7494542947,0.6989623190362244,6.874571712665922,2.9980699785721763,-816110.5900320362,0.8864580599623918,9.871827432559574
9,9,8.491196857967895e-05,0.8233569178526139,-1376877.1544988335,2.9825936071777024,-834718.8445277695,2.265417073982851,0.994361984624478,2.960695251829361,-883765.0750479599,0.06535572997952777,14.395940812001363,3.0011755877522677,-797620.9536781705,0.451768694057885,0.4905988771385775,3.01363818781501,-765715.3192727776,0.07374063593564315,19.03231059683384,3.0051889209677576,-797963.4064770396,0.6129505574921508,5.359938163641345,2.998286452651492,-796410.7494542947,0.6989623152735008,6.874571712665922,2.9980699785721763,-816110.5900320362,0.8864580599623918,9.871827432559574
10,10,8.491196857967895e-05,0.4773109299773383,-1376877.1544988335,3.0188840683355007,-758130.1305298645,2.1690523176501006,0.9984406194127493,2.982890660585592,-840275.2594169229,0.0654841686928967,14.704161508382992,2.997539444125265,-805146.4436967466,0.450156356171543,0.4900762819026168,2.9884659287162063,-823730.0588083962,0.07331458114972399,16.339393531863305,3.0051887064580316,-797963.3965185066,0.6129505756465488,5.359938461354856,2.998286418810594,-796410.7494542947,0.6989622987206754,6.874571712665922,2.9980699785721763,-816110.5900320362,0.8864580599623918,9.871827432559574
