,iter,best_obj,rel_diff,best_ext_h0,Nd_intercept,Nd_beta0,Nd_beta1,Pr_intercept,Pr_beta0,Pr_beta1,Ce_intercept,Ce_beta0,Ce_beta1,La_intercept,La_beta0,La_beta1,Dy_intercept,Dy_beta0,Dy_beta1,Sm_intercept,Sm_beta0,Sm_beta1,Y_intercept,Y_beta0,Y_beta1
0,0,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20
1,1,0.03589758768077916,21.000000000000057,-1376877.1578525545,-796630.7472372957,0.7459820315595859,7.683962525237933,-804949.676541606,0.5878722433097117,5.446965040891874,-799671.8535977869,0.5683138771769763,4.330159786749355,-798281.080974753,0.05929999713109059,14.235546390790574,-805107.4528322341,0.6129648560200409,5.360202416896411,-795364.2084167162,0.5978078969216549,5.279174081605432,-814654.8936058494,0.9657036817607582,8.515030540098573
2,2,0.020523566039320422,2.5585440673715034,-1377356.1260593878,-797059.9776562914,0.7459837782866834,7.683963804574712,-807474.5742908432,0.412119358146579,0.5446965040891875,-798541.1385153377,0.5683086183011624,4.3301017748512365,-793826.8317553926,0.059179052561110786,19.77323694076803,-801913.8726103224,0.7646416177518945,7.84824568473698,-795363.0419325187,0.59780846432948,5.279183016139414,-813457.2158804197,0.8866130626375315,9.867928019371377
3,3,0.019477920445525317,7.677982352652354,-1375588.6756908477,-793163.8973856996,0.3209195035432397,13.123168416291694,-808683.1537883538,0.412118699519776,0.5446960424554511,-790111.3963314675,0.05683086183011624,23.89686703927439,-791050.7992598361,0.05905360634622211,29.84340866533762,-801427.30300279,0.5534942813794564,9.205560588460095,-795364.198868676,0.5978087854283536,5.279188087719687,-813457.2158804197,0.8866130626375315,9.867928019371377
4,4,0.010207128776218969,0.42455280980920035,-1375610.9624283572,-794262.8311628923,0.3216915257810643,13.804909552933434,-808435.0647171926,0.41211840588454257,0.5446957279361009,-790207.5472086382,0.056830829357604154,23.89689998523618,-795480.9739022574,0.05878743947127101,19.151367921508545,-801426.8680903579,0.5534944284911872,9.205566903683641,-795364.198868676,0.5978087854283536,5.279188087719687,-813457.2158804197,0.8866130626375315,9.867928019371377
5,5,0.014641607256599173,1.6866445651799755,-1375538.6750637838,-798938.0765541978,0.3566318051278,2.900470205622694,-805875.0643270919,0.41211840588454257,0.5446957279361009,-793436.7925485797,0.056742997228693914,13.80172079259027,-796954.8557059788,0.05868227362010503,12.498956039602165,-801427.2924061618,0.5534945060571388,9.205570263716002,-795364.198868676,0.5978087854283536,5.279188087719687,-813457.2158804197,0.8866130626375315,9.867928019371377
6,6,0.009364477922161399,0.5171670324839205,-1375506.0331521921,-798500.5981007863,0.35663166857868867,2.9004640415749985,-807020.2949058269,0.41211840588454257,0.5446957279361009,-793926.4769803158,0.056743019042837614,13.801790803325336,-794407.3237807738,0.059071074021005275,18.80781812800432,-801427.2924061618,0.5534945060571388,9.205570263716002,-795364.198868676,0.5978087854283536,5.279188087719687,-813457.2158804197,0.8866130626375315,9.867928019371377
7,7,0.008587420254580813,1.059528868598552,-1375505.5181543154,-798685.9967218107,0.35663172954569944,2.900465970474833,-807454.2257048099,0.41211840588454257,0.5446957279361009,-789725.2952172983,0.05719014118011185,22.726516278088134,-791396.077682103,0.05903562942413778,26.228646183949166,-801427.2924061618,0.5534945060571388,9.205570263716002,-795364.198868676,0.5978087854283536,5.279188087719687,-813457.2158804197,0.8866130626375315,9.867928019371377
8,8,0.010436904878903537,0.29420985511692826,-1375548.1106216116,-799519.3918074799,0.35663172954569944,2.900465970474833,-808023.7799223613,0.41211840588454257,0.5446957279361009,-786951.389362888,0.05708292450340597,28.34019679365209,-791002.4212304557,0.05887049745806909,27.19304858223857,-801427.2924061618,0.5534945060571388,9.205570263716002,-795364.198868676,0.5978087854283536,5.279188087719687,-813457.2158804197,0.8866130626375315,9.867928019371377
9,9,0.008122441324296938,0.5056025050774561,-1375532.8964810933,-799252.2437781714,0.35663172954569944,2.900465970474833,-807837.3724848758,0.41211840588454257,0.5446957279361009,-790021.4446221002,0.05689505465396167,23.449630511144804,-795447.5533695783,0.058631276343575414,18.611038118056705,-801427.2924061618,0.5534945060571388,9.205570263716002,-795364.198868676,0.5978087854283536,5.279188087719687,-813457.2158804197,0.8866130626375315,9.867928019371377
10,10,0.012928748169505148,0.8333232355853131,-1375557.2637008368,-798461.2222513977,0.35663172954569944,2.900465970474833,-806951.4949354676,0.41211840588454257,0.5446957279361009,-795969.4556880995,0.056793906518569214,11.277961619380736,-797714.8073241808,0.05842557708316379,13.092573662989777,-801427.2924061618,0.5534945060571388,9.205570263716002,-795364.198868676,0.5978087854283536,5.279188087719687,-813457.2158804197,0.8866130626375315,9.867928019371377
11,11,0.007800190819962697,0.36349221067564863,-1375530.569913902,-798291.6222911178,0.35663172954569944,2.900465970474833,-806824.7532982712,0.41211840588454257,0.5446957279361009,-795638.7226937105,0.0567939201459683,11.27792734701911,-795125.0133593426,0.058611088348722154,17.75722543814867,-801427.2924061618,0.5534945060571388,9.205570263716002,-795364.198868676,0.5978087854283536,5.279188087719687,-813457.2158804197,0.8866130626375315,9.867928019371377
12,12,0.00921314263132423,1.6582390417163946,-1375352.6611008795,-799018.4755125245,0.35663172954569944,2.900465970474833,-807547.1998794067,0.41211840588454257,0.5446957279361009,-789593.3324594139,0.057780238237745564,22.7526002647588,-790289.6353698338,0.05869157014173162,28.5282029237168,-801427.2924061618,0.5534945060571388,9.205570263716002,-795364.198868676,0.5978087854283536,5.279188087719687,-813457.2158804197,0.8866130626375315,9.867928019371377
13,13,0.0164949043385192,0.5442127617504667,-1375330.196734157,-799860.8096262615,0.35663172954569944,2.900465970474833,-808560.5669803121,0.41211840588454257,0.5446957279361009,-784843.309147467,0.05766909907971607,32.27291103838875,-788888.7517598639,0.058542471191840494,31.701224910845188,-801427.2924061618,0.5534945060571388,9.205570263716002,-795364.198868676,0.5978087854283536,5.279188087719687,-813457.2158804197,0.8866130626375315,9.867928019371377
14,14,0.010623495713475158,0.602757119120526,-1375351.9855972743,-799632.2232496517,0.35663172954569944,2.900465970474833,-808321.7283717714,0.41211840588454257,0.5446957279361009,-788451.2944893743,0.057453027762948625,26.992114973264634,-795921.9019280333,0.058276332684925714,18.490011381032488,-801427.2924061618,0.5534945060571388,9.205570263716002,-795364.198868676,0.5978087854283536,5.279188087719687,-813457.2158804197,0.8866130626375315,9.867928019371377
15,15,0.020076787588486848,1.0484920101715856,-1375285.2763873788,-798333.4293311803,0.35663172954569944,2.900465970474833,-806908.9647236438,0.41211840588454257,0.5446957279361009,-799190.3142882502,0.05726405467005661,2.6992114973264636,-795227.311995532,0.05860570542646566,16.240039078247854,-801427.2924061618,0.5534945060571388,9.205570263716002,-795364.198868676,0.5978087854283536,5.279188087719687,-813457.2158804197,0.8866130626375315,9.867928019371377
16,16,0.007946994350521493,0.0013058079059853106,-1375281.5761035422,-798434.7113981954,0.35663172954569944,2.900465970474833,-806825.5999826461,0.41211840588454257,0.5446957279361009,-799709.74809272,0.05726405662551625,2.6992166442291183,-795558.7828092766,0.05860569942350758,16.24014965075902,-801427.2924061618,0.5534945060571388,9.205570263716002,-795364.198868676,0.5978087854283536,5.279188087719687,-813457.2158804197,0.8866130626375315,9.867928019371377
17,17,0.00786340427833731,0.06642675860532837,-1375281.5757328654,-798645.9616186575,0.35663172954569944,2.900465970474833,-807277.1206417971,0.41211840588454257,0.5446957279361009,-799564.0986061025,0.05726405599313575,2.6992201079308553,-795074.773177479,0.058327655804418455,17.215637464507253,-801427.2924061618,0.5534945060571388,9.205570263716002,-795364.198868676,0.5978087854283536,5.279188087719687,-813457.2158804197,0.8866130626375315,9.867928019371377
18,18,0.007639301074559701,0.03358010063393503,-1375274.53927792,-798757.6626722564,0.35663172954569944,2.900465970474833,-807442.731414953,0.41211840588454257,0.5446957279361009,-799932.191263451,0.05726405599313575,2.6992201079308553,-795454.173437478,0.05797530586210222,16.76361227782182,-801427.2924061618,0.5534945060571388,9.205570263716002,-795364.198868676,0.5978087854283536,5.279188087719687,-813457.2158804197,0.8866130626375315,9.867928019371377
19,19,0.007567810584575274,0.00032734971823157984,-1375274.5400305095,-798776.6132373732,0.35663172954569944,2.900465970474833,-807407.5175994666,0.41211840588454257,0.5446957279361009,-799839.5141766575,0.05726405599313575,2.6992201079308553,-795567.5444104999,0.05797527817732809,16.763631654115574,-801427.2924061618,0.5534945060571388,9.205570263716002,-795364.198868676,0.5978087854283536,5.279188087719687,-813457.2158804197,0.8866130626375315,9.867928019371377
20,20,0.007559522636647893,0.0003284988853867459,-1375274.539920735,-798878.7031945293,0.35663172954569944,2.900465970474833,-807474.2323978223,0.41211840588454257,0.5446957279361009,-799918.231712956,0.05726405599313575,2.6992201079308553,-795552.3072518674,0.05797526981415537,16.763625801929546,-801427.2924061618,0.5534945060571388,9.205570263716002,-795364.198868676,0.5978087854283536,5.279188087719687,-813457.2158804197,0.8866130626375315,9.867928019371377
21,21,0.007557017666936972,0.00011741201128258779,-1375274.5398505423,-798875.2254308723,0.35663172954569944,2.900465970474833,-807474.2323978223,0.41211840588454257,0.5446957279361009,-799969.9761753903,0.05726405599313575,2.6992201079308553,-795590.7893224553,0.05797526981415537,16.763625801929546,-801427.2924061618,0.5534945060571388,9.205570263716002,-795364.198868676,0.5978087854283536,5.279188087719687,-813457.2158804197,0.8866130626375315,9.867928019371377
22,22,0.007557912174965889,4.953375811471988e-06,-1375274.5395942358,-798879.1825600903,0.35663172954569944,2.900465970474833,-807474.2323978223,0.41211840588454257,0.5446957279361009,-799969.9761753903,0.05726405599313575,2.6992201079308553,-795590.7893224553,0.05797526981415537,16.763625801929546,-801427.2924061618,0.5534945060571388,9.205570263716002,-795364.198868676,0.5978087854283536,5.279188087719687,-813457.2158804197,0.8866130626375315,9.867928019371377
23,23,0.007557925434292841,0.0,-1375274.5395942358,-798879.1825600903,0.35663172954569944,2.900465970474833,-807474.2323978223,0.41211840588454257,0.5446957279361009,-799969.9761753903,0.05726405599313575,2.6992201079308553,-795590.7893224553,0.05797526981415537,16.763625801929546,-801427.2924061618,0.5534945060571388,9.205570263716002,-795364.198868676,0.5978087854283536,5.279188087719687,-813457.2158804197,0.8866130626375315,9.867928019371377
24,24,0.007557925434292841,0.0,-1375274.5395942358,-798879.1825600903,0.35663172954569944,2.900465970474833,-807474.2323978223,0.41211840588454257,0.5446957279361009,-799969.9761753903,0.05726405599313575,2.6992201079308553,-795590.7893224553,0.05797526981415537,16.763625801929546,-801427.2924061618,0.5534945060571388,9.205570263716002,-795364.198868676,0.5978087854283536,5.279188087719687,-813457.2158804197,0.8866130626375315,9.867928019371377
25,25,0.007557925434292841,0.0,-1375274.5395942358,-798879.1825600903,0.35663172954569944,2.900465970474833,-807474.2323978223,0.41211840588454257,0.5446957279361009,-799969.9761753903,0.05726405599313575,2.6992201079308553,-795590.7893224553,0.05797526981415537,16.763625801929546,-801427.2924061618,0.5534945060571388,9.205570263716002,-795364.198868676,0.5978087854283536,5.279188087719687,-813457.2158804197,0.8866130626375315,9.867928019371377
